timestamp, index, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%]
2026/03/27 11:37:44.941, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:44.942, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 0 %
2026/03/27 11:37:44.942, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:37:45.942, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 7560 MiB, 16 %
2026/03/27 11:37:45.942, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27677 MiB, 100 %
2026/03/27 11:37:45.942, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21987 MiB, 100 %
2026/03/27 11:37:45.942, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:37:45.942, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:37:45.943, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:45.943, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 0 %
2026/03/27 11:37:45.943, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:37:46.943, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 7560 MiB, 4 %
2026/03/27 11:37:47.029, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27677 MiB, 100 %
2026/03/27 11:37:47.029, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21987 MiB, 100 %
2026/03/27 11:37:47.029, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:37:47.029, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:37:47.030, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:47.030, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 0 %
2026/03/27 11:37:47.030, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:37:48.030, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 7560 MiB, 0 %
2026/03/27 11:37:48.142, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27677 MiB, 100 %
2026/03/27 11:37:48.142, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21993 MiB, 100 %
2026/03/27 11:37:48.143, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:37:48.143, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:37:48.143, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:48.143, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 0 %
2026/03/27 11:37:48.272, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:37:49.273, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 7560 MiB, 0 %
2026/03/27 11:37:49.273, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27677 MiB, 100 %
2026/03/27 11:37:49.273, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 22019 MiB, 100 %
2026/03/27 11:37:49.273, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:37:49.273, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 98 %
2026/03/27 11:37:49.273, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:49.273, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 0 %
2026/03/27 11:37:49.273, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:37:50.274, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 7560 MiB, 0 %
2026/03/27 11:37:50.274, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27677 MiB, 100 %
2026/03/27 11:37:50.274, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 22031 MiB, 100 %
2026/03/27 11:37:50.274, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:37:50.500, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:37:50.501, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:50.501, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 0 %
2026/03/27 11:37:50.501, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:37:51.501, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 7560 MiB, 0 %
2026/03/27 11:37:51.501, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27677 MiB, 100 %
2026/03/27 11:37:51.501, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 22049 MiB, 100 %
2026/03/27 11:37:51.501, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:37:51.501, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:37:51.502, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:51.502, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 0 %
2026/03/27 11:37:51.502, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:37:52.502, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 7560 MiB, 0 %
2026/03/27 11:37:52.567, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27677 MiB, 100 %
2026/03/27 11:37:52.567, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21991 MiB, 100 %
2026/03/27 11:37:52.567, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:37:52.567, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:37:52.567, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:37:52.568, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 0 %
2026/03/27 11:37:52.568, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:37:53.568, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 7560 MiB, 0 %
2026/03/27 11:37:53.825, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 27677 MiB, 100 %
2026/03/27 11:37:54.020, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21991 MiB, 100 %
2026/03/27 11:37:54.021, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
